highSanity,mediumSanity,lowSanity,dayTwenty,misc
I helped out a few of the older ladies with drawing up water from the well and they gave me a meal as thanks! It was sooo tasty… hopefully I can share a meal like this with my sister soon out in town!,I’ve passed by the ranch quite a few times this month to chat with the rancher. He seems nervous about something but I’m not really sure what. Though looking at the cows I might have a few ideas…, ,,
Lately I’ve been finding quite a few small furry visitors around the farm in the form of mice. While I am all for making new friends these are the kind that are interested in my crops which I’d like to avoid. I’ve managed to keep them safe for now but I need to find a solution… {should probably be before the first appearance of the cat},The weeds have gotten more difficult to pull up lately. Their root systems have gotten tougher and I think they are starting to… squirm? It feels like they are gripping onto the dirt. Maybe I should think about looking for weed killers.,,,
A traveling merchant came around town today and had a lot of cute toys for sale! I bought a teddy bear for my sister in order to cheer her up so I hope she likes it!,,,,
During the last month I tried out a few different creative hobbies to keep myself busy like basket weaving and crochet. All of my attempts didn’t turn out too well…maybe I’ll just stick to doodling and farming.,,,,
I found a small family of spiders making their home near the shed this past month. As long as they don’t go after my crops and only eat the other bugs around then they can stay (even if I’m not their biggest fan but they’re outside so I shouldn’t complain), ,,,
I’ve been trying out a new type of fertilizer this month and I think I saw some improvement in my crops? It’s a little hard to tell if there’s a difference honestly but at least I can always tell when something is wrong!,,,,
One of my least favorite things about farming has to be weed management. It can be so difficult to keep them out of my crops and this month it seemed like they had it out for me! It doesn’t matter though` I refuse to let them win this battle!,,,,
This month I set a goal for myself to clean up our house storage a little and found some old pictures! My sister looks so cute as a baby!,,,,
It’s a nice sunny day outside which means today is a perfect day to plant! My sister suggested writing in a journal to keep memories and talk about farming` but I can’t promise that I’ll remember to write everyday. Maybe I’ll start out with at least one entry a month. {first entry I’d say},,According to my sister` some of the toys that I bought for her this past month have been moving during the night. Interesting. It would be helpful if they’d help around the farm but perhaps I will settle for them entertaining my sister. And if they ever hurt her… well they’ll just wish they hadn’t. [if not cured] A few of my sister’s old things seem to be walking around in the night as if looking for something. I’ve warned them to stay out of my sight if they wish to keep their lives and for now they’ve listened. I don’t wish to see any reminders of her.,,
Looking around the shop I noticed a few saplings for sale this month and was reminded about how my sister and I would climb whatever tree we could get our hands on. Maybe I should think about growing a few fruit trees on the farm` it might be fun to have some trees close to home!,,My sister has been giving me odd looks lately and I’m not sure why. I feel perfectly fine. Terrific even! And yet she looks at me as if I’m a monster. Well she may give all the looks she pleases but that doesn't change that I’m her brother… and there’s nothing she can do about that. [if not cured] My body has felt… strange lately. I don’t know what’s happening but… I feel stronger. Better than I ever have before. Perhaps this is a gift for all that I have accomplished… and all the loss that I’ve endured. {maybe the last entry?},,
Tis’ the season for bird migrations` which also means I need to be on guard! I’ve made some repairs to my trusty partner` the scarecrow. I’m again reminded that my sewing skills need some help` but maybe my scary stitching will help keep some of the birds away.,My sister swears the scarecrow has been staring at her during the last couple of weeks. I’m not sure how it could with buttons for eyes` but I’ve put it in the shed for now. I’ll just figure out a different way to keep the birds away. [if not cured] I’m not sure why but it feels like someone has been watching me the past few weeks. Whenever I look around there isn’t anyone aside from myself and the scarecrow but… it can’t be that right? Maybe I should keep an eye on it just in case.,I’ve gotten my sister to take walks with me again this month but I’m not sure I can convince her to come again after the last one. We came across some kind of abomination that she claims looks like Doc’s son` but it looks more like a beast to me. A shame` I know those two got along quite well. [if not cured] During my last walk I came across quite a strange creature hanging around the doctor’s house. When I asked she claimed to not know what happened past eating some of my crops last month then asked when I’ll have some more. At least they’re enjoying the produce.,,
I set out to fix some of the various repairs that need to be done around the house this month. It’s hard work` especially the roof repairs` but anything I can do to make my sister more comfortable is worth it.,,,,
It’s been really windy around town this month` so windy in fact that I’ve been hit in the face with quite a few leaves! Luckily I haven’t been hit with something bigger but I should still try to be careful if this weather keeps up.,,,,
From what I can tell my plan to combat the mice has been working with the help of my new feline friend! I’ve noticed a big decrease in the rodents lately and have seen the stray hanging around the fields. I should start leaving out some water for him so he won’t go thirsty. Thanks for the help little guy!,,,,
I decided to do a little fishing this month during my free time to try and bring in a little something different to eat. The fishermen make this look so easy! It took a while and when I managed to catch a fish it wasn’t really big enough to eat. Maybe Oliver will like a little treat. {after day 20},,,,
The shopkeeper asked for my help with restocking her shelves. Apparently her usual helpers needed to travel this month and she wasn’t able to find temporary replacements. It’s nice to think she trusts me enough to ask for help` and she even promised me a meal in exchange! ,,,,
The sky was really clear this month so my sleep schedule is a little off from star gazing so much. As much of a morning person as I am` I do really like the quiet during nighttime. I’ll just have to catch up on some sleep during the next few days.,,,,
I decided to adopt the stray cat for a little more company after my sister’s passing and named him Oliver. He’s been a great help with pest control and cheering me up lately` so I wanted to make it official.,,,,
I’ve burned yet another dish in our cookbook` I don’t know how my sister did it. I miss her cooking a lot… maybe I can get the shopkeeper to give me a few pointers.,,,,
I tore a hole in my overalls today. Unfortunately I had to throw them out since the damage is a bit too much for my skill level… my sister might have been able to fix it…,,,,
I found myself helping out the racher a few times this month. Doing all that hard work made me realize I should probably stick with what I have unless I manage to hire some help. There isn’t really a point in keeping cows anyway… not anymore.,,,,
Lately I’ve been trying to avoid the well during my walks in town. I’ll stop by and say hi to the other kids soon but… it’s a bit too painful right now {I’d say this would probably happen right after the 20 day entry},,,,
Stumbled across my failed art projects in the shed a few weeks ago and had to throw them out. It makes me sad to see my effort in the trash but I need room for my new tools… no reason not to buy a basket anyway.,,,,
Oliver has been following me into town lately` wanders off for a few minutes` then comes right back. I think he’s been visiting a few of his old friends in town… can’t complain` the company is a lot nicer than walking alone.,,,,
During the past month I noticed that the flowers growing around the house haven’t been doing so well so I tried to revive them. Nothing I did was working so I unfortunately had to pull up the plants. The house looks more depressing but the wilting flowers weren’t helping with that either. There isn’t really any reason to keep them anyway` my sister was the one to suggest them… maybe I’ll try again next month.,,,,
I’ve been practicing my drawing this month since I’ve had so much fun with doodling lately! I tried out sketching some of my crops and I think it turned out pretty well!,,,,
